0,11,300,8
1,11,600,5
2,11,900,5
3,11,900,7
4,11,300,4
5,11,900,6
6,11,600,4
7,11,900,7
8,11,600,10
9,11,300,6
10,11,900,9
14,16,300,1
15,16,600,10
17,21,900,9
18,21,600,2
19,21,900,10
20,21,600,8
22,23,600,3
24,27,900,1
25,27,300,4
26,27,600,8
28,31,600,2
29,31,600,5
30,31,900,2
34,36,300,10
35,36,900,5
37,41,300,4
38,41,600,5
39,41,600,9
40,41,900,2
42,49,900,4
43,49,600,8
44,49,600,8
45,49,600,8
46,49,900,1
47,49,600,1
48,49,900,10
50,51,900,6
52,65,600,1
53,65,600,5
54,65,300,1
55,65,900,1
56,65,600,6
57,65,600,7
58,65,600,3
59,65,900,3
60,65,900,10
61,65,900,8
62,65,900,2
63,65,300,4
64,65,300,3
66,74,900,2
67,74,600,9
68,74,300,8
69,74,600,9
70,74,900,2
71,74,300,10
72,74,600,9
73,74,600,3
75,81,300,6
76,81,600,2
77,81,600,7
78,81,900,1
79,81,300,6
80,81,600,8
84,85,900,9
86,92,600,5
87,92,600,4
88,92,300,3
89,92,900,10
90,92,300,9
91,92,900,5
94,97,300,1
95,97,300,1
96,97,300,2
98,109,300,3
99,109,300,6
100,109,900,6
101,109,300,9
102,109,900,1
103,109,600,1
104,109,900,9
105,109,300,8
106,109,600,10
107,109,900,1
108,109,300,7
110,116,300,7
111,116,600,9
112,116,300,10
113,116,300,1
114,116,900,8
115,116,900,2
117,128,600,1
118,128,600,4
119,128,300,4
120,128,600,2
121,128,900,5
122,128,900,2
123,128,600,3
124,128,900,3
125,128,300,4
126,128,600,10
127,128,900,2
129,137,900,5
130,137,600,4
131,137,300,2
132,137,300,9
133,137,600,2
134,137,900,2
135,137,900,1
136,137,600,3
138,143,300,8
139,143,900,9
140,143,300,3
141,143,900,9
142,143,300,4
144,145,900,2
146,151,600,1
147,151,900,3
148,151,300,5
149,151,600,1
150,151,300,9
152,157,900,2
153,157,600,10
154,157,600,3
155,157,600,5
156,157,600,1
158,165,900,10
159,165,600,8
160,165,900,10
161,165,900,1
162,165,900,8
163,165,900,3
164,165,600,4
166,173,900,2
167,173,300,7
168,173,900,10
169,173,300,1
170,173,600,2
171,173,300,9
172,173,300,4
174,176,900,8
175,176,300,7
177,180,900,1
178,180,300,10
179,180,300,3
181,184,600,6
182,184,600,3
183,184,900,6
185,193,600,3
186,193,600,9
187,193,900,2
188,193,600,2
189,193,600,2
190,193,600,3
191,193,300,4
192,193,600,7
194,200,300,5
195,200,300,9
196,200,900,5
197,200,600,1
198,200,300,2
199,200,300,6
201,210,900,3
202,210,900,6
203,210,900,7
204,210,600,10
205,210,600,6
206,210,600,5
207,210,300,7
208,210,900,1
209,210,300,7
211,212,300,4
213,216,900,8
214,216,600,8
215,216,300,5
217,223,300,9
218,223,600,2
219,223,300,2
220,223,600,6
221,223,300,10
222,223,300,2
224,226,600,4
225,226,600,5
227,236,300,6
228,236,600,8
229,236,900,2
230,236,900,3
231,236,900,1
232,236,300,9
233,236,300,7
234,236,300,7
235,236,600,10
237,238,600,10
239,242,300,5
240,242,300,3
241,242,300,5
244,247,300,2
245,247,900,7
246,247,300,2
249,255,600,9
250,255,900,7
251,255,300,3
252,255,600,8
253,255,300,5
254,255,900,7
257,262,600,2
258,262,600,8
259,262,300,7
260,262,300,1
261,262,600,4
263,266,900,2
264,266,600,2
265,266,900,10
268,294,300,9
269,294,600,5
270,294,300,1
271,294,300,4
272,294,900,9
273,294,900,6
274,294,300,9
275,294,600,8
276,294,900,2
277,294,600,1
278,294,600,5
279,294,900,4
280,294,300,2
281,294,900,8
282,294,900,5
283,294,600,1
284,294,600,1
285,294,300,5
286,294,900,10
287,294,600,7
288,294,900,9
289,294,600,9
290,294,300,3
291,294,900,5
292,294,900,3
293,294,900,9
11,16,3000,439
11,27,2000,197
11,33,2000,821
11,36,1000,899
11,41,3000,501
11,51,1000,727
11,116,2000,964
11,128,3000,694
11,143,3000,764
11,176,2000,547
11,193,1000,231
11,216,3000,613
11,267,3000,613
11,294,3000,197
12,36,2000,633
12,116,2000,865
12,137,2000,924
12,226,2000,87
12,236,1000,269
12,242,3000,295
12,248,1000,569
12,255,2000,80
12,256,3000,308
13,23,1000,257
13,32,2000,212
13,33,1000,871
13,36,2000,619
13,74,1000,894
13,81,3000,997
13,93,2000,281
13,151,1000,6
13,165,1000,656
13,184,1000,778
13,193,2000,323
13,223,1000,10
13,236,1000,143
13,294,2000,641
16,21,2000,756
16,23,1000,74
16,31,2000,896
16,49,3000,415
16,65,3000,654
16,92,3000,116
16,137,1000,379
16,165,3000,152
16,184,1000,380
16,193,3000,256
16,243,1000,404
21,27,3000,558
21,33,1000,487
21,49,2000,746
21,81,2000,346
21,165,2000,93
21,173,2000,63
21,212,1000,579
21,248,3000,127
21,255,1000,521
21,256,2000,285
21,262,3000,339
21,294,3000,196
23,31,2000,702
23,41,3000,941
23,74,2000,922
23,81,2000,201
23,82,2000,238
23,93,2000,391
23,97,2000,113
23,109,3000,89
23,128,1000,443
23,137,3000,711
23,145,1000,372
23,216,2000,777
23,226,2000,635
23,243,2000,188
23,294,2000,374
27,33,3000,634
27,49,2000,20
27,83,2000,659
27,97,3000,889
27,137,2000,544
27,145,1000,777
27,180,2000,235
